Date,obedient_metal_eel,striped_teal_baboon,huge_emerald_griffin,wide_beige_hornet,fast_burlap_aphid,original_peanut_snail,skinny_blue_sidewinder,high_beige_lobster,short_carrot_lemur,puny_tan_rhino,polite_brown_cormorant,creamy_mango_porcupine,trendy_caramel_dalmatian,clean_beige_cormorant,bright_syrup_lion,trendy_coal_ladybug,future_cloth_cormorant
2021-10-20,0.53524787,0.1105257,0.0,0.21308822,0.01833472,0.00615375,0.0,0.0193188,0.29426919,0.18815758,0.14233147,0.01041843,0.62739388,0.02559263,0.13239609,0.01174846,0.24271718
2021-10-19,0.80833857,0.04588192,0.0,0.29290887,0.11570964,0.03183238,0.0,0.07548829,0.07130704,0.04422749,0.0129269,0.02511175,0.55113028,0.01275783,0.02611217,0.01162431,0.12711128
2021-10-18,0.58927205,0.1084223,0.0,0.22003703,0.11238629,0.01734133,0.06301193,0.01221872,0.16335578,0.0898666,0.0,0.0246604,0.66963759,0.0,0.01079059,0.0,0.00506971
2021-10-17,0.96424789,0.0748032,0.18714893,0.30496719,0.14267607,0.01970047,0.05542697,0.0064677,0.1973991,0.04243111,0.03722918,0.01687046,0.76722116,0.0,0.01860159,0.00618071,0.12465922
2021-10-16,0.81745296,0.03288716,0.18411144,0.3323334,0.10710086,0.07553723,0.24449848,0.02811538,0.18611607,0.05974786,0.39252264,0.05437303,8.31e-06,0.00507151,0.30123859,0.00547403,0.00571295
2021-10-15,0.73721669,0.076179,0.27571977,0.23916425,0.00997856,0.07720872,0.2332181,0.03629336,0.10938738,0.13968608,0.15771073,0.04461789,0.38192914,0.02536122,0.09198211,0.02910549,0.01114007
2021-10-14,0.49214852,0.16530417,0.28082069,0.29205328,0.11931834,0.03021625,0.23542541,0.08107426,0.25382359,0.0863478,0.08757523,0.0052904,0.33444343,0.02235824,0.12521972,0.01059163,0.14284343
2021-10-13,0.78288841,0.08758387,0.1508313,0.26165694,0.11011829,0.02679429,0.20972505,0.02989991,0.36233436,0.10492805,0.17701972,0.01880674,0.5923862,0.01722689,0.01586438,0.0,0.00558762
2021-10-12,0.65762606,0.16721667,0.2151965,0.15992285,0.18074123,0.02237995,0.1758752,0.00018556,0.57159724,0.02560809,0.09842528,0.0,0.53110469,0.0066387,0.32069231,0.01167822,0.20214327
2021-10-11,0.53204065,0.05620859,0.12409188,0.17920559,0.30623291,0.02098098,0.18418195,0.05686976,0.25479678,0.05935684,0.0,0.0180027,0.70998038,0.02748064,0.26210843,0.02299845,0.07881625
2021-10-10,0.51447179,0.07257421,0.36346724,0.23479346,0.02691963,0.00847965,0.33488966,0.19910701,0.13809992,0.09892755,0.13661263,0.01140494,0.65574205,0.02210861,0.16806596,0.01044418,0.01075071
2021-10-09,0.58462835,0.04153354,0.27952099,0.19387485,0.03260895,0.00480353,0.24497238,0.0,0.12203339,0.12349864,0.22501266,0.00606611,0.65168942,0.0,0.01139166,0.01086942,0.09602635
2021-10-08,0.66996586,0.16304131,0.24857054,0.06825734,0.00558458,0.00378245,4.546e-05,0.0,0.17107901,0.1209256,0.15006947,0.0,0.51481326,0.02280336,0.14825445,0.0,0.0
2021-10-07,0.50387289,0.18513246,0.32127233,0.38731385,0.03882607,0.01642905,0.07655887,0.0,0.27306044,0.10436079,0.13352283,0.02107521,0.33302454,0.00952236,0.30107305,0.0,0.0
2021-10-06,0.31486167,0.10796583,0.34988359,0.45509996,0.21912649,0.00954934,0.19644178,0.0,0.18808126,0.10318081,0.11651944,0.00521187,0.52607707,0.01669672,0.12705391,0.0,0.06265653
2021-10-05,0.28064472,0.04382854,0.24526482,0.29634839,0.25629262,0.00877915,0.09119677,0.0,0.20509475,0.17621295,0.35584253,0.01956715,0.48589556,0.01893527,0.13266756,0.0,0.16907
2021-10-04,0.47531312,0.21075927,0.27450514,0.34321253,0.27123563,0.02063757,0.10848705,0.0,0.32244371,0.1752036,0.23925312,0.01619218,0.34644927,0.02006993,0.02663755,0.0,0.00919296
2021-10-03,0.22763397,0.11935935,0.33010677,0.29345117,0.15394064,0.01639646,0.20963891,0.20125385,0.24928009,0.11988098,0.03774276,0.02373153,0.6647716,0.01310857,0.30102815,0.0,0.04274048
2021-10-02,0.32645317,0.08375542,0.39971434,0.31242389,0.27682022,0.02844063,0.21294482,0.2907061,0.54080113,0.1168535,0.1766561,0.00844469,0.88318739,0.01629131,0.15136071,0.00460846,0.01348518
2021-10-01,0.08259339,0.08470156,0.51245026,0.21372267,0.17727063,0.02331305,0.28522571,0.19389903,0.17617208,0.07586903,0.17680679,0.01513851,0.66269986,0.02255568,0.10563454,0.02360749,0.00955033
2021-09-30,0.0420272,0.16417428,0.30550553,0.36343721,0.11290256,0.00954558,0.10731807,0.0984954,0.1986571,0.1094017,0.06095517,0.0084726,0.38141585,0.03074548,0.2228374,0.02077138,0.05249523
2021-09-29,0.34165793,0.07082369,0.28791139,0.32351277,0.3685527,0.01786661,0.08494583,0.16658452,0.07700166,0.05816223,0.16556732,0.00963157,0.69547043,0.00522463,0.31541293,0.0096895,0.03752431
2021-09-28,0.252914,0.12538233,0.24190585,0.21097792,0.3285608,0.02779676,0.07357413,0.13933253,0.00896544,0.01412876,0.1098685,0.01693083,0.35739095,0.00844229,0.17253263,0.01617004,0.08272651
2021-09-27,0.20915795,0.20435855,0.45838356,0.56056798,0.19454713,0.00863668,0.18316449,0.18490672,0.01462947,0.00984941,0.12479209,0.00950915,0.69457905,0.00970566,0.22816013,0.01462552,0.09369021
2021-09-26,0.21077597,0.16966935,0.31263304,0.30032178,0.5240921,0.0,0.27172926,0.22058229,0.0,0.09651105,0.07550645,0.02117851,0.4858987,0.00966792,0.3678264,0.01579122,0.01096373
2021-09-25,0.30526574,0.09312185,0.39423366,0.43251585,0.3987838,0.0,0.20924722,0.22978871,0.0,0.06358115,0.21013446,0.00461883,0.74038495,0.00919099,0.1767659,0.01631957,0.01048574
2021-09-24,0.19461133,0.18435909,0.32780474,0.45449381,0.33410748,0.0,0.3446513,0.30447276,0.0,0.08915279,0.26130094,0.004785,0.93805076,0.01183176,0.17657429,0.01515486,0.00559898
2021-09-23,0.40585231,0.04819692,0.39291884,0.51253592,0.22773136,0.0,0.20256882,0.31329607,0.0,0.18708183,0.45862496,0.01104225,0.65946186,0.00517131,0.28572296,0.00543231,0.14816789
2021-09-22,0.45745942,0.11698206,0.22171628,0.66876648,0.35697412,0.0,0.23634671,0.46446834,0.23340213,0.04482112,0.25893571,0.00549078,0.77993847,0.01665602,0.42006824,0.01134943,0.02176928
2021-09-21,0.23482436,0.11839953,0.2232891,0.25226,0.28831962,0.00509484,0.29769117,0.3636042,0.14837418,0.2171636,0.21969708,0.00911567,0.82840061,0.01555443,0.40527039,0.01761925,0.12540351
